,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[677],0.117,0.15,-0.119,0.371,0.001,0.001,13639.0,6217.0,1.0
mu[678],-0.209,0.116,-0.4,-0.021,0.001,0.001,11652.0,5854.0,1.0
mu[679],-0.153,0.171,-0.434,0.126,0.002,0.001,11973.0,6709.0,1.0
mu[680],0.298,0.193,-0.012,0.623,0.002,0.002,12490.0,5380.0,1.0
mu[681],0.914,0.158,0.659,1.176,0.001,0.001,11601.0,7108.0,1.0
mu[682],1.593,0.14,1.374,1.829,0.002,0.001,8269.0,7509.0,1.0
mu[683],0.02,0.181,-0.273,0.324,0.001,0.002,20127.0,6186.0,1.0
mu[684],-0.108,0.088,-0.246,0.042,0.001,0.001,14113.0,5983.0,1.0
mu[685],-0.557,0.139,-0.786,-0.33,0.001,0.001,10979.0,6121.0,1.0
mu[686],-0.086,0.138,-0.32,0.138,0.001,0.001,16356.0,5754.0,1.0
mu[687],0.584,0.154,0.339,0.839,0.002,0.001,9581.0,7395.0,1.0
mu[688],0.977,0.119,0.78,1.17,0.001,0.001,10667.0,6082.0,1.0
mu[689],-0.528,0.137,-0.752,-0.304,0.001,0.001,11126.0,6430.0,1.0
mu[690],0.288,0.151,0.033,0.534,0.001,0.001,12723.0,5387.0,1.0
mu[691],0.299,0.161,0.027,0.56,0.001,0.001,12670.0,5338.0,1.0
mu[692],-0.188,0.141,-0.409,0.052,0.001,0.001,11472.0,6510.0,1.0
mu[693],-0.228,0.119,-0.421,-0.033,0.001,0.001,11700.0,5910.0,1.0
mu[694],0.314,0.191,0.001,0.625,0.002,0.001,14102.0,6756.0,1.0
mu[695],1.092,0.13,0.884,1.31,0.001,0.001,9089.0,7802.0,1.0
mu[696],-0.002,0.106,-0.188,0.163,0.001,0.001,16026.0,5924.0,1.0
mu[697],-0.196,0.199,-0.529,0.117,0.002,0.002,13372.0,6224.0,1.0
mu[698],-0.414,0.188,-0.721,-0.108,0.002,0.001,13037.0,6232.0,1.0
mu[699],0.03,0.049,-0.049,0.112,0.001,0.0,9617.0,6149.0,1.0
mu[700],0.826,0.183,0.528,1.121,0.002,0.001,9397.0,7558.0,1.0
mu[701],0.048,0.075,-0.077,0.168,0.001,0.001,11693.0,6446.0,1.0
mu[702],-0.084,0.154,-0.347,0.158,0.001,0.001,11525.0,6404.0,1.0
mu[703],0.03,0.035,-0.029,0.087,0.0,0.0,7036.0,6982.0,1.0
mu[704],0.291,0.144,0.059,0.536,0.001,0.001,12991.0,5441.0,1.0
mu[705],0.374,0.138,0.15,0.599,0.001,0.001,13575.0,7003.0,1.0
mu[706],1.356,0.128,1.155,1.57,0.001,0.001,8447.0,7301.0,1.0
mu[707],-0.002,0.093,-0.154,0.154,0.001,0.001,15926.0,6142.0,1.0
mu[708],-0.201,0.202,-0.538,0.117,0.002,0.002,13359.0,6199.0,1.0
mu[709],-0.492,0.182,-0.799,-0.205,0.002,0.001,12485.0,6587.0,1.0
mu[710],0.147,0.089,0.004,0.297,0.001,0.001,15320.0,5931.0,1.0
mu[711],1.176,0.157,0.925,1.437,0.002,0.001,8637.0,6607.0,1.0
mu[712],0.014,0.082,-0.123,0.146,0.001,0.001,13128.0,5800.0,1.0
mu[713],-0.55,0.18,-0.842,-0.255,0.002,0.001,12077.0,6180.0,1.0
mu[714],-0.162,0.177,-0.456,0.12,0.002,0.002,13498.0,6113.0,1.0
mu[715],-0.004,0.161,-0.278,0.253,0.001,0.002,16136.0,5665.0,1.0
mu[716],-0.178,0.087,-0.323,-0.036,0.001,0.001,12279.0,6625.0,1.0
mu[717],1.483,0.127,1.28,1.695,0.001,0.001,8234.0,7373.0,1.0
mu[718],0.295,0.15,0.04,0.537,0.001,0.001,12817.0,5432.0,1.0
mu[719],-0.107,0.063,-0.212,-0.005,0.001,0.0,11645.0,6185.0,1.0
mu[720],-0.148,0.144,-0.387,0.085,0.001,0.001,11311.0,6623.0,1.0
mu[721],0.033,0.08,-0.099,0.164,0.001,0.001,11689.0,6752.0,1.0
mu[722],1.125,0.16,0.865,1.384,0.002,0.001,8711.0,6665.0,1.0
mu[723],0.045,0.041,-0.022,0.112,0.0,0.0,8669.0,6392.0,1.0
mu[724],0.386,0.127,0.18,0.594,0.001,0.001,13404.0,7001.0,1.0
mu[725],-0.144,0.172,-0.427,0.136,0.002,0.001,12016.0,6710.0,1.0
mu[726],-0.595,0.132,-0.817,-0.389,0.001,0.001,10499.0,5406.0,1.0
mu[727],2.007,0.196,1.683,2.32,0.002,0.001,10475.0,6039.0,1.0
mu[728],-0.181,0.154,-0.434,0.071,0.001,0.001,14208.0,5866.0,1.0
mu[729],-0.559,0.162,-0.825,-0.299,0.001,0.001,12088.0,6839.0,1.0
mu[730],0.007,0.138,-0.224,0.225,0.001,0.002,16145.0,5145.0,1.0
mu[731],1.814,0.153,1.573,2.073,0.002,0.001,9810.0,7365.0,1.0
mu[732],-0.295,0.173,-0.587,-0.017,0.001,0.001,18467.0,5436.0,1.0
mu[733],-0.364,0.171,-0.647,-0.086,0.002,0.001,11250.0,6720.0,1.0
mu[734],-0.505,0.17,-0.783,-0.225,0.002,0.001,10678.0,6631.0,1.0
mu[735],0.088,0.147,-0.147,0.337,0.001,0.001,12216.0,6190.0,1.0
mu[736],1.76,0.196,1.433,2.08,0.002,0.001,12873.0,7037.0,1.0
mu[737],1.852,0.139,1.625,2.078,0.002,0.001,7965.0,6488.0,1.0
mu[738],-0.004,0.079,-0.131,0.128,0.001,0.001,12480.0,6188.0,1.0
mu[739],-0.135,0.127,-0.346,0.074,0.001,0.001,14434.0,6305.0,1.0
mu[740],-0.58,0.169,-0.857,-0.309,0.002,0.001,12103.0,6886.0,1.0
mu[741],0.036,0.212,-0.322,0.373,0.002,0.003,16643.0,5133.0,1.0
mu[742],2.432,0.213,2.076,2.774,0.002,0.001,11690.0,6242.0,1.0
mu[743],-0.373,0.217,-0.72,-0.004,0.002,0.001,18161.0,5533.0,1.0
mu[744],-0.395,0.188,-0.706,-0.093,0.002,0.001,11260.0,6750.0,1.0
mu[745],-0.589,0.2,-0.932,-0.278,0.002,0.001,10806.0,7027.0,1.0
mu[746],0.083,0.178,-0.206,0.38,0.002,0.002,12220.0,6203.0,1.0
mu[747],1.702,0.17,1.425,1.982,0.002,0.001,11775.0,6671.0,1.0
mu[748],1.818,0.138,1.589,2.042,0.002,0.001,7991.0,6694.0,1.0
mu[749],-0.004,0.075,-0.126,0.122,0.001,0.001,12299.0,6103.0,1.0
mu[750],-0.098,0.109,-0.275,0.086,0.001,0.001,14742.0,5897.0,1.0
mu[751],-0.571,0.166,-0.843,-0.305,0.002,0.001,12097.0,6901.0,1.0
mu[752],0.341,0.169,0.071,0.631,0.001,0.001,13063.0,6134.0,1.0
mu[753],2.294,0.197,1.953,2.6,0.002,0.001,11330.0,6572.0,1.0
mu[754],-0.358,0.208,-0.687,-0.002,0.002,0.001,18218.0,5344.0,1.0
mu[755],-0.393,0.186,-0.702,-0.092,0.002,0.001,11257.0,6691.0,1.0
mu[756],-0.57,0.193,-0.897,-0.264,0.002,0.001,10768.0,6963.0,1.0
mu[757],-0.006,0.058,-0.098,0.093,0.001,0.001,11698.0,5790.0,1.0
mu[758],1.826,0.139,1.608,2.061,0.002,0.001,7984.0,6477.0,1.0
mu[759],0.018,0.167,-0.265,0.278,0.001,0.002,16390.0,5081.0,1.0
mu[760],0.101,0.068,-0.012,0.211,0.001,0.001,12178.0,7037.0,1.0
mu[761],1.673,0.162,1.42,1.951,0.002,0.001,11118.0,6485.0,1.0
mu[762],1.532,0.157,1.274,1.788,0.002,0.001,8660.0,7702.0,1.0
mu[763],0.016,0.114,-0.165,0.211,0.001,0.001,18628.0,5989.0,1.0
mu[764],-0.351,0.255,-0.754,0.084,0.002,0.002,16269.0,5291.0,1.0
mu[765],1.442,0.15,1.196,1.686,0.002,0.001,8670.0,6262.0,1.0
mu[766],-0.128,0.229,-0.511,0.239,0.002,0.002,14483.0,6240.0,1.0
mu[767],-0.299,0.196,-0.624,0.016,0.002,0.001,11570.0,6260.0,1.0
mu[768],-0.239,0.201,-0.572,0.089,0.002,0.002,11756.0,6660.0,1.0
mu[769],0.336,0.173,0.062,0.634,0.002,0.001,13124.0,6460.0,1.0
mu[770],2.027,0.196,1.701,2.341,0.002,0.001,10725.0,6488.0,1.0
mu[771],1.601,0.157,1.345,1.856,0.002,0.001,8533.0,7793.0,1.0
mu[772],0.017,0.089,-0.129,0.166,0.001,0.001,17543.0,6076.0,1.0
mu[773],-0.113,0.229,-0.486,0.263,0.002,0.002,14590.0,6473.0,1.0
mu[774],-0.622,0.137,-0.845,-0.4,0.001,0.001,10482.0,5561.0,1.0
mu[775],-0.328,0.243,-0.715,0.083,0.002,0.002,15807.0,5476.0,1.0
mu[776],-0.07,0.224,-0.426,0.306,0.002,0.002,14534.0,6534.0,1.0
mu[777],-0.19,0.214,-0.535,0.171,0.002,0.002,15445.0,6163.0,1.0
mu[778],1.594,0.15,1.354,1.843,0.002,0.001,8861.0,6607.0,1.0
mu[779],-0.269,0.211,-0.605,0.085,0.002,0.002,17339.0,5762.0,1.0
mu[780],1.875,0.16,1.62,2.142,0.002,0.001,9612.0,7363.0,1.0
mu[781],-0.3,0.249,-0.698,0.126,0.002,0.002,15482.0,5497.0,1.0
mu[782],-0.642,0.141,-0.882,-0.424,0.001,0.001,10482.0,5540.0,1.0
mu[783],-0.148,0.237,-0.518,0.262,0.002,0.002,14600.0,6089.0,1.0
mu[784],-0.352,0.199,-0.687,-0.039,0.002,0.002,11648.0,6208.0,1.0
mu[785],1.591,0.157,1.335,1.846,0.002,0.001,8550.0,7782.0,1.0
mu[786],-0.324,0.197,-0.657,-0.017,0.002,0.002,11622.0,6285.0,1.0
mu[787],0.019,0.069,-0.094,0.133,0.001,0.001,13869.0,6380.0,1.0
mu[788],-0.3,0.199,-0.626,0.031,0.002,0.001,11482.0,6570.0,1.0
mu[789],-0.355,0.2,-0.669,-0.011,0.002,0.001,11254.0,6362.0,1.0
mu[790],0.329,0.19,0.028,0.653,0.002,0.001,13348.0,6599.0,1.0
mu[791],2.071,0.204,1.746,2.412,0.002,0.001,11473.0,6739.0,1.0
mu[792],-0.535,0.256,-0.956,-0.121,0.002,0.002,11029.0,4633.0,1.0
mu[793],-0.12,0.163,-0.386,0.147,0.001,0.002,18143.0,6484.0,1.0
mu[794],1.689,0.226,1.335,2.077,0.002,0.002,8365.0,5978.0,1.0
mu[795],-0.391,0.237,-0.763,0.02,0.002,0.002,16838.0,6234.0,1.0
mu[796],-0.053,0.246,-0.46,0.344,0.002,0.003,18243.0,5139.0,1.0
mu[797],0.071,0.163,-0.199,0.339,0.001,0.002,16100.0,5619.0,1.0
mu[798],-0.053,0.285,-0.527,0.402,0.003,0.003,9789.0,6239.0,1.0
mu[799],-0.304,0.257,-0.718,0.127,0.002,0.002,16763.0,5669.0,1.0
mu[800],-0.516,0.229,-0.892,-0.135,0.002,0.002,12603.0,6332.0,1.0
mu[801],-0.363,0.325,-0.883,0.183,0.003,0.003,16255.0,5900.0,1.0
mu[802],-0.425,0.158,-0.697,-0.181,0.001,0.001,11137.0,5191.0,1.0
mu[803],-0.5,0.282,-0.948,-0.03,0.002,0.002,17211.0,5837.0,1.0
mu[804],-0.034,0.229,-0.423,0.334,0.002,0.003,16580.0,5640.0,1.0
mu[805],1.227,0.169,0.949,1.502,0.002,0.001,9189.0,5509.0,1.0
mu[806],-0.265,0.279,-0.718,0.193,0.002,0.003,17390.0,5722.0,1.0
mu[807],-0.518,0.283,-0.966,-0.041,0.002,0.002,17187.0,5653.0,1.0
mu[808],-0.075,0.254,-0.512,0.324,0.002,0.003,18096.0,5188.0,1.0
mu[809],-0.066,0.284,-0.528,0.401,0.003,0.003,9754.0,6201.0,1.0
mu[810],-0.509,0.303,-1.009,-0.019,0.002,0.002,19221.0,5263.0,1.0
mu[811],-0.507,0.241,-0.91,-0.114,0.002,0.002,11940.0,6433.0,1.0
mu[812],-0.283,0.319,-0.818,0.229,0.003,0.003,15372.0,6459.0,1.0
mu[813],-0.647,0.269,-1.101,-0.221,0.003,0.002,11143.0,4808.0,1.0
mu[814],-0.06,0.143,-0.298,0.18,0.001,0.002,17754.0,5612.0,1.0
mu[815],-0.273,0.189,-0.565,0.06,0.002,0.001,12976.0,6370.0,1.0
mu[816],-0.083,0.153,-0.34,0.167,0.001,0.002,18455.0,5525.0,1.0
mu[817],-0.385,0.172,-0.655,-0.09,0.001,0.001,15099.0,5710.0,1.0
mu[818],0.008,0.053,-0.079,0.093,0.0,0.001,11378.0,6247.0,1.0
mu[819],-0.376,0.196,-0.684,-0.042,0.002,0.002,8874.0,5533.0,1.0
mu[820],1.264,0.187,0.971,1.588,0.002,0.001,9787.0,5686.0,1.0
mu[821],-0.129,0.064,-0.231,-0.019,0.001,0.0,12828.0,6920.0,1.0
mu[822],0.017,0.193,-0.287,0.336,0.001,0.003,18628.0,5599.0,1.0
mu[823],0.521,0.212,0.165,0.848,0.002,0.001,13133.0,5343.0,1.0
mu[824],-0.348,0.189,-0.635,-0.018,0.002,0.002,8875.0,5533.0,1.0
mu[825],-0.028,0.033,-0.083,0.025,0.0,0.0,8585.0,6987.0,1.0
mu[826],-0.398,0.206,-0.732,-0.055,0.002,0.001,16125.0,5456.0,1.0
mu[827],-0.285,0.196,-0.59,0.06,0.002,0.001,12988.0,6405.0,1.0
mu[828],-0.308,0.131,-0.519,-0.092,0.001,0.001,11089.0,4928.0,1.0
mu[829],-0.171,0.231,-0.531,0.228,0.002,0.002,16645.0,6270.0,1.0
mu[830],1.739,0.239,1.352,2.132,0.002,0.002,9155.0,5590.0,1.0
mu[831],-0.327,0.211,-0.686,0.007,0.002,0.001,16784.0,6233.0,1.0
mu[832],0.042,0.209,-0.296,0.384,0.002,0.003,18614.0,5950.0,1.0
mu[833],0.578,0.227,0.175,0.913,0.002,0.002,13291.0,5681.0,1.0
mu[834],-0.192,0.157,-0.453,0.057,0.002,0.001,9152.0,5225.0,1.0
mu[835],0.118,0.098,-0.036,0.287,0.001,0.001,11256.0,6146.0,1.0
mu[836],-0.4,0.214,-0.761,-0.059,0.002,0.001,16146.0,5397.0,1.0
mu[837],-0.318,0.218,-0.66,0.06,0.002,0.002,13017.0,6460.0,1.0
mu[838],-0.209,0.124,-0.405,-0.001,0.001,0.001,10770.0,5412.0,1.0
mu[839],-0.162,0.219,-0.501,0.217,0.002,0.002,16721.0,6442.0,1.0
mu[840],1.627,0.229,1.239,1.987,0.003,0.002,7599.0,6245.0,1.0
mu[841],-0.243,0.178,-0.542,0.04,0.001,0.001,16524.0,6058.0,1.0
mu[842],-0.194,0.099,-0.35,-0.027,0.001,0.001,13513.0,6802.0,1.0
mu[843],-0.034,0.184,-0.332,0.27,0.001,0.003,18320.0,5096.0,1.0
mu[844],0.412,0.206,0.078,0.744,0.002,0.001,13516.0,4604.0,1.0
mu[845],-0.12,0.078,-0.25,0.005,0.001,0.001,12691.0,6644.0,1.0
mu[846],-0.303,0.29,-0.773,0.173,0.002,0.003,17691.0,5596.0,1.0
